video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ZYy1G_t4yLE&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@monicachurchrealtor,Monica Church Seattle Real Estate,Moving To Seattle in 2026? 8 Things You NEED To Know Before You Get Here...,72K,1 year,"Looking to buy or sell in and around Seattle? I can help! I am Monica Church, Seattle/Bellevue Real Estate Broker. Connect with ...",2026-01-22 01:42:02.304540
/watch?v=4vqiUpblwj8&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@keithsdiary,keith's diary,Everything I Wish I Knew Before Moving To Seattle,6.2K,1 year,Hey Friends! It's been one whole year since I moved to Seattle and I want to discuss everything I wish I knew before I moved here.,2026-01-22 01:42:02.306572
/watch?v=OjSbzmftVpA&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@rinahra,Rin Ahra,"THINGS TO KNOW BEFORE MOVING TO SEATTLE *brutally honest* | good, bad, and ugly | seattle fashion",127K,3 years,biggest takeaway is that there are literally no bugs in seattle tbh thanks for watching ✨ Restricted Parking Zone Information: ...,2026-01-22 01:42:02.308481
/watch?v=lbrsePtzNe0&pp=ygURTW92aW5nIHRvIFNlYXR0bGXSBwkJhwoBhyohjO8%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Why Are People STILL Moving To Seattle?,12K,8 months,"Is moving to Seattle something in your plans in the near future? In this video, I am going over the top 5 reasons why all of my ...",2026-01-22 01:42:02.310844
/watch?v=v6Jl0jHsu1o&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Top Mistakes People Make When Moving To Seattle,3.1K,5 months,"If you're planning a move to Seattle, there are some things you should certainly be aware of. Here are 5 things I notice my ...",2026-01-22 01:42:02.312170
/watch?v=eP_matCcDrg&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@monicachurchrealtor,Monica Church Seattle Real Estate,7 Things I Wish I Knew Before Moving To Seattle (from California!),259K,2 years,Interested in buying or selling in the Seattle/Bellevue area? Get in touch with me at: https://monicachurchrealestate.com/ or ...,2026-01-22 01:42:02.313975
/watch?v=0ScAcbma5yE&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@AmaraAnigbo,Amara Anigbo,5 things you MUST know before moving to Seattle,55K,4 years,Hey y'all! :) I have been living in Seattle for a while and I wanted to make a video about the 5 things you should know before ...,2026-01-22 01:42:02.315944
/watch?v=PC40r08O33U&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@rinahra,Rin Ahra,GET THESE 5 THINGS once you move to seattle,1.2K,1 year,remember 2 vote pls vote.org thanks for watching ✨ add me: instagram: https://www.instagram.com/rin.ahra/ timestamps 0:00 ...,2026-01-22 01:42:02.317923
/watch?v=PCIf2QyLw98&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@LivingInSeattlePNW,Living in Seattle Washington PNW,WHY Seattle? 5 UNEXPECTED reasons to make the move! | Moving to Seattle WA | Seattle WA Real Estate,10K,1 year,Are you thinking about moving to Seattle Washington? Let's explore Seattle Washington today and check out these Seattle facts!,2026-01-22 01:42:02.319904
/watch?v=0iJK3a642ug&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@KellyLira,Kelly Lira,so you want to move to seattle... | q&a,39K,2 years,I answer a few questions about living in Seattle. Hopefully this helps you make your decision if you're thinking about moving here!,2026-01-22 01:42:02.322664
/watch?v=EiN0GTHPUq0&pp=ygURTW92aW5nIHRvIFNlYXR0bGXSBwkJhwoBhyohjO8%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,2025 Pros and Cons of Living In Seattle,26K,1 year,"In this video, I am going over some of the top pros and cons of living in the Seattle area. If you're thinking of moving to Seattle, ...",2026-01-22 01:42:02.324051
/watch?v=znZCU6W3yBc&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@CNBCMakeIt,CNBC Make It,"Living On $27K A Year In Seattle, WA | Millennial Money",285K,2 years,"Baik used to work as a teacher outside Washington D.C., but then moved to Seattle to get her Ph.D. in special education at the ...",2026-01-22 01:42:02.325421
/watch?v=lmJImWJ41H0&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@gabbbyle,Gabby Le,moving into my DREAM Seattle high-rise apartment,25K,1 month,moved into my dream apartment in Seattle ♥️ dream really coming true! Shop my camera gear 📽️ amazon store front ...,2026-01-22 01:42:02.327142
/watch?v=sOGU0jgZKjg&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@chelseakaywright,Chelsea Kay Wright,"things you should know about before moving to Seattle| the good, the bad and the ugly, Q&A",17K,2 years,"Whether you're moving here for a summer or making the next step, here's you're guide to living in Seattle and what life here has ...",2026-01-22 01:42:02.328852
/watch?v=Ekol9czXwik&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,5 Things You Should Know Before Moving To Seattle (Things They DON'T Tell You),4K,2 years,5 Things You Should Know Before Moving To Seattle (Things They Don't Tell You) Have you thought about moving to Seattle or ...,2026-01-22 01:42:02.330769
/watch?v=mRQOmRO9pew&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@livingintacomawashington,Living In Tacoma Washington [The Original!],PROS and CONS of Washington State | Living In Washington | Moving to Seattle Washington,27K,3 years,There are plenty of pros and cons of living in Washington. Moving to Seattle or other parts of Washington have their own unique ...,2026-01-22 01:42:02.332640
/watch?v=2KTMWL4fOjo&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@monicachurchrealtor,Monica Church Seattle Real Estate,Should You Move To Seattle? I Asked 3 Transplants About Their Experience,103K,4 years,Interested in buying or selling in the Seattle/Bellevue area? Get in touch with me at: https://monicachurchrealestate.com/ or ...,2026-01-22 01:42:02.336365
/watch?v=s0MY-znreow&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@maggiesun-seattlerealtor,Maggie Sun | Seattle Real Estate,DON'T Move To SEATTLE... UNLESS You Can HANDLE These 7 FACTS,3.5K,2 years,"Today, I'm going to spill the beans on 7 things you've got to know before moving to Seattle. If you can't stomach them, maybe think ...",2026-01-22 01:42:02.338743
/watch?v=1AB7SUzJPr4&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,"If I Was Moving To The Seattle Suburbs In 2026, Here's Where I'd Move",9.6K,3 months,"Are you thinking of making a move to the Seattle area, and trying to figure which city in the metropolitan area would work best for ...",2026-01-22 01:42:12.610158
/watch?v=zae6eZERBz0&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@heyitstiffanychen,Tiffany Chen,"Settling Into My New Life in Seattle | Apartment Setup, City Exploring & Home-Cooked Meals",38K,3 months,"I just moved to Seattle, and this vlog captures my first week settling into my new apartment and city. From home goods hauls and ...",2026-01-22 01:42:12.613112
/watch?v=9I9VjgU8_XE&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@LaoOcean,Lao Ocean,Moving to SEATTLE? 4 Things to Consider & Where to Live (4K) | ALKI BEACH Fall Walking Tour,8.7K,5 years,"In this video I give a walkthrough of Alki Beach, Seattle's Premiere beach (brrr in the cold months, though) and talk about 4 things ...",2026-01-22 01:42:12.616324
/watch?v=UHR_QKgP3Jg&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@EmilyCressey-LivingInSeattleWA,"Emily Cressey - Living In Seattle, Washington",10 Things No One Tells You About Moving to Seattle,264,3 months,"Thinking about moving to Seattle or anywhere in Washington State? Before you make the leap, there are some things you really ...",2026-01-22 01:42:12.619809
/watch?v=A6FqWB8NCdA&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@Phamever,PHAMEVER,Moving To Seattle Part 1 - What's It Really Like Here + Moving Tips!,47K,4 years,Many of you who are moving to Seattle (or thinking about it) have asked me to share more about what life in Seattle is really and ...,2026-01-22 01:42:12.622733
/watch?v=CrrGi-utEzQ&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@Cjwedd,Christian Weddington,Moving to Seattle alone at 22,901,5 months,"I hope you guys enjoyed this video, drop a like and comment if you want more videos like this! Subscribe if you aren't already!",2026-01-22 01:42:12.623901
/watch?v=vK1AQq2Oaag&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@LivinginSeattleWashington,Living in Seattle Washington,"Don't Move to Seattle,Washington Unless You Can Handle These 6 Things!",179K,2 years,"Are you thinking of moving and buying a house in Seattle, Washington? This video Tova talks about the 6 reasons on WHY ...",2026-01-22 01:42:12.627552
/watch?v=bgU4K-ZR0gQ&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@sabriatiana,sabriatiana,I Moved to Seattle by Myself (Update),11K,4 years,"Hello friends, Here I am with an update to my Moving to Seattle by Myself video! That video unexpectedly got a lot of traction and ...",2026-01-22 01:42:12.631342
/watch?v=6DJoUIVEHkY&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@swangxswang,Sarah Wang,MOVING TO SEATTLE my new seattle apartment and things to do in seattle | TWENTIES DIARIES,2.4K,4 years,Description: Moving to Seattle! Moving into my new Seattle apartment and doing things in Seattle. My boyfriend and I are going ...,2026-01-22 01:42:12.635604
/watch?v=Au0HgSQf27o&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@Chris_jae,Chris Jae,Why You Should NOT Move To Seattle | Things No One Tells You,9K,4 years,"Today ill describe my Top 10 Reasons to Not Move to Seattle. I currently live in Seattle and really love the city, but I wanted to ...",2026-01-22 01:42:12.639597
/watch?v=WedWAuSfsQQ&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@Chris_jae,Chris Jae,10 Things I Wish I Knew Before Moving To Seattle || Best Way To Find Your Apartment,11K,4 years,I just moved to Seattle 2 months ago and wanted to share some things that I learned and some things that surprised me about this ...,2026-01-22 01:42:12.644316
/watch?v=D2-WTSgESo0&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@nattyinthecity,Natty in the City,"MOVING ACROSS THE COUNTRY to the Seattle Area | Apartment Tour, IKEA Shopping, & Trader Joe’s Haul",2.5K,4 months,"Hello world! Welcome to my Seattle area moving vlog + apartment tour! I packed up my life in Austin, Texas and moved across the ...",2026-01-22 01:42:12.648262
/watch?v=NE0Q4KYn8gI&pp=ygURTW92aW5nIHRvIFNlYXR0bGXSBwkJhwoBhyohjO8%3D,/@sabriatiana,sabriatiana,"Moving to Seattle by Myself (Planning, Cost, Everything!)",19K,4 years,"Hi guys! After three months, I finally was able to finish editing this video! I'm sorry it took me so long and I promise I have not ...",2026-01-22 01:42:12.657217
/watch?v=Sd6empPcVDw&pp=ygURTW92aW5nIHRvIFNlYXR0bGXSBwkJhwoBhyohjO8%3D,/@urban-living,Seattle & Bellevue Real Estate by Urban Living,"If I Were Moving to Seattle in 2025, I'd Move Here",16K,5 months,Download Our FREE Relocation Guide Here!✓ https://bit.ly/ReloPDF ➡️ Our Seattle New Condo Guide: https://bit.ly/4hl8TzB ...,2026-01-22 01:42:12.659350
/watch?v=QRtFew_iekk&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@livingintacomawashington,Living In Tacoma Washington [The Original!],9 Things You Must Know Before Moving To Seattle ( Does it even make sense ),2.4K,1 year,"Are you considering moving to Seattle Washington in 2024? This video is your ultimate Seattle Washington living guide, and I'm ...",2026-01-22 01:42:12.662826
/watch?v=-EBClK7Gu2Y&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@LivingSeattleSuburbs_old,LIVING IN SEATTLE SUBURBS,"Dont move to Seattle before watching this, Seattle Wa is not for everyone",151,3 months,Don't move to Seattle before watching this! 🌧️ Seattle is one of the most beautiful cities in the country—but it's not for everyone.,2026-01-22 01:42:12.665100
/watch?v=6ZaxDdO-DXo&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@ShaniKalua,shani kalua,i got laid off from my corporate job and left seattle... i didn't expect it to end like this,55K,5 months,"my final seattle vlog in this video, i'm sharing something i've been holding onto for a little while... i was laid off. it's not how i ...",2026-01-22 01:42:12.667755
/watch?v=saYhnVmv2mU&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,The Dark Side Of Seattle - 9 Things You Must Know Before Moving,8.3K,7 months,Looking to make a move to Seattle? These are 9 downsides about living in the Seattle area that you should know first. Thinking ...,2026-01-22 01:42:12.670536
/watch?v=Ts8vedWvW1s&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@ShaniKalua,shani kalua,"MOVING OUT OF MY SEATTLE DREAM APARTMENT 🥲 | packing, organizing, move out day + life updates",4.4K,6 months,"iving alone diaries ✨: I finally moved out of my first dream apartment in Seattle This was my first time living alone, in a high-rise ...",2026-01-22 01:42:20.771676
/watch?v=E7Y2AK84_vQ&pp=ygURTW92aW5nIHRvIFNlYXR0bGXSBwkJhwoBhyohjO8%3D,/@heyytheresmile,heyytheresmile,"moving to seattle diaries ep. 2 | kinda empty apt tour, moving into my new apartment",2.7K,4 years,hi guys! I MADE IT TO SEATTLE. hope you all enjoy part 2 of my moving to seattle series :) ✨CONNECT WITH ME: tik tok ...,2026-01-22 01:42:20.776451
/watch?v=E_0F3VVjxcE&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@ShaniKalua,shani kalua,"MOVING INTO MY DREAM SEATTLE APARTMENT | apartment tours, move in day, unpacking and organizing",26K,1 year,living alone diaries: I finally moved out at 24 into my first apartment in Seattle! Moving across the country and apartment hunting in ...,2026-01-22 01:42:20.778491
/watch?v=x2sSutNDMuE&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@maddykiim,Maddy Kim,Seattle Apartment Hunting | 12 Units w/ prices!!,38K,7 months,"seattle #apartment #apt be on the lookout for more seattle vlogs! :0 Hii I'm Maddy, and I'm a recent grad at UC Berkeley.",2026-01-22 01:42:20.779917
/watch?v=I59BSVEtR44&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@georgeoctavio,George Rodriguez Tacoma Seattle Real Estate Expert,10 Affordable Neighborhoods In Seattle Washington | Moving To Seattle WA,2.9K,1 year,"You may be wondering what are the affordable neighborhoods in Seattle Washington. Seattle, WA can be pricy and if you are ...",2026-01-22 01:42:20.781274
/watch?v=HII9UbOsuxg&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@MonicaChurch,Monica Church,"The Best Cities To Move To In 2022: Seattle VS. Austin, Texas",573K,3 years,SUBSCRIBE for more: http://goo.gl/LPWD04 How To Find A Real Estate Agent: https://rb.gy/ar7th3 Keith's Austin Real Estate ...,2026-01-22 01:42:20.783280
/watch?v=c3cLm0fXN84&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,West Side Vs East Side - Where To Live When Moving To Seattle,1.5K,5 months,"If you're moving to the Greater Seattle area, you may be wondering if you should live on the west side or the east side. Both can ...",2026-01-22 01:42:20.785262
/watch?v=g_A9Wu3X9uo&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@Kikiosity2025,Kikiosity,SEATTLE APARTMENT HUNTING (w/ rent prices + tours + tips),9.6K,6 months,"Moving to Seattle? Looking for an apartment in Seattle🏙️? In this video, I'm being completely transparent about my apartment ...",2026-01-22 01:42:20.786597
/watch?v=s4ea6BmApms&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@SeattleToPugetSoundLiving,Selling the Pacific Northwest,"Ultimate Guide to Moving to Seattle, WA",417,1 year,"Ultimate Guide to Moving to Seattle, WA Looking to move to Seattle, WA but don't know where to start? Look no further than the ...",2026-01-22 01:42:20.789489
/watch?v=ZQVFzUBU100&pp=ygURTW92aW5nIHRvIFNlYXR0bGU%3D,/@Livinginseattle1,Living in Seattle Washington - Christian Harris,What you need to know before moving from Chicago IL to Seattle WA,3.1K,2 years,"If you are thinking about moving from Chicago, Illinois (IL) to Seattle, Washington (WA), this is the video for you. I will cover some ...",2026-01-22 01:42:20.791373
