video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=wqffXo6euV8&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@camdendavid,Camden David,23 Tips I Wish I Knew Before Visiting Seattle,101K,1 year,"Every Tuesday, I share a travel tip you'll actually use — like advice from a friend who travels nonstop ...",2026-01-22 01:37:04.605819
/watch?v=S973ZhUR6N0&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@ThroughMyLens,Through My Lens,Perfect Day in Seattle Without a Car: 14+ Stops in the Emerald City,194K,1 year,"In this video, we'll take you through the perfect day in Seattle, all without needing a car! From the vibrant Pike Place Market to the ...",2026-01-22 01:37:04.608198
/watch?v=NQCWA13jqNc&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@CreativeTravelGuide,Creative Travel Guide,THINGS TO KNOW BEFORE YOU GO TO SEATTLE,8K,2 years,Today we share the things to know before you go to Seattle including when to go to Seattle and the best time to visit Seattle.,2026-01-22 01:37:04.609500
/watch?v=GB_8NQjDhUc&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@MichaelInTheCity,Michael In The City,How to spend the PERFECT weekend in SEATTLE,205K,4 years,"In this video, I'm sharing a sample itinerary with my picks for great things to experience while visiting Seattle. Let me know in the ...",2026-01-22 01:37:04.611334
/watch?v=av_NQkxRnPc&pp=ygUQVmlzaXRpbmcgU2VhdHRsZdIHCQmHCgGHKiGM7w%3D%3D,/@IslandHopperTV,Island Hopper TV,Best Things To Do in Seattle Washington 2026 4K,173K,8 months,"We show you 25 things to see and do while you visit Seattle. If you plan to travel to Seattle, you will want to watch this Seattle vlog.",2026-01-22 01:37:04.613385
/watch?v=gBVsK6uOObE&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@woltersworld,Wolters World,Visit Seattle - 5 Things You Will LOVE and HATE about Seattle Washington,257K,7 years,GRAB A WOLTERS WORLD SHIRT http://www.woltersworld.com/shop Support Us: https://www.patreon.com/woltersworld Seattle ...,2026-01-22 01:37:04.615250
/watch?v=NnrVSgNKius&t=156s&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@AdventuresofMattandNat,Adventures of Matt and Nat,"How to Spend One Day in Seattle, Washington | Top Things to Do, See, & Eat in the “Emerald City”!",106K,1 year,Start fresh any day of the year with our sponsor BetterHelp. Click https://betterhelp.com/mattandnat for a discount on your first ...,2026-01-22 01:37:04.617140
/watch?v=BSuIwG2nDkI&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@TheDetourDuo,The Detour Duo,We went to the Seattle Most Tourists Miss,77K,3 months,"This isn't the Seattle you usually see in travel guides. In this video, we explore the hidden side of Seattle, Washington, parts that ...",2026-01-22 01:37:04.618982
/watch?v=JY3dN1rAV1s&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@KellyLira,Kelly Lira,THE ULTIMATE SEATTLE TRAVEL GUIDE (40+ things to do + tips from a local!),774K,4 years,"The must-see Seattle spots; where to eat, drink, and shop; tips on getting here; and tips on getting around. I hope this helps you ...",2026-01-22 01:37:04.620334
/watch?v=Xn6-FyVdjqA&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@worldwildhearts,World Wild Hearts,"SEATTLE, WA | 10 INCREDIBLE Things to Do in & Around Seattle",633K,3 years,"Seattle is located in the northwest of Washington and is the State's largest city. It's nicknamed the ""Emerald City"" because the ...",2026-01-22 01:37:04.621678
/watch?v=cQWLeKKeQSg&pp=ygUQVmlzaXRpbmcgU2VhdHRsZdIHCQmHCgGHKiGM7w%3D%3D,/@EECCTravels,EECC Travels,Our 10 MUST-DO Seattle Experiences in Just ONE DAY!!,28K,5 months,"Seattle is a great city with SO MUCH to do! We are here for an Alaska cruise, but made sure to fly in early enough to spend some ...",2026-01-22 01:37:04.623201
/watch?v=X6YxSvlntLQ&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@aliazaita,alia zaita,my seattle guide | EVERYTHING you should EAT + DO in seattle,350K,2 years,"FINALLY!! all the things you need to EAT, SEE and SHOP at in seattle are compiled into one video PS. shoutout to ashley k ...",2026-01-22 01:37:04.625043
/watch?v=wd_kzQjQyTg&t=29s&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@YellowProductions,Yellow Productions,Seattle Travel Tips: 8 Things to Know Before You Go,258K,6 years,"Everything YOU need to know before you travel to Seattle Washington. With a population of 750000, Seattle is located in the ...",2026-01-22 01:37:04.626911
/watch?v=92ISlO9U-84&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@Expedia,Expedia,Seattle Vacation Travel Guide | Expedia,3.1M,12 years,Seattle – an evergreen city no stranger to fun and flair! Follow our trip through Seattle and get some tips and inspiration to plan ...,2026-01-22 01:37:04.628838
/watch?v=XJ-OBdUcJAs&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@Jaycation,Jaycation,What's SEATTLE Washington Like in 2025?,38K,4 months,"Top Things To Do in Seattle Washington in 2025 We visit Seattle, Washington and check out all the fun touristy things to do in ...",2026-01-22 01:37:04.630262
/watch?v=T__21WS9Ntw&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@barryjbriggs,Barry J. Briggs,Exploring Every Iconic Landmark in Seattle in Less Than 24 Hours,6.1K,9 months,"Seattle has really changed within the last 10 years. And even though I live here and very rarely go deep into the actual city, I've ...",2026-01-22 01:37:04.631262
/watch?v=DzpuORx-AKQ&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@taste4travelchannel,Taste 4 Travel,"Guide to Seattle-Best places to visit in & around Seattle, Washington",1.1K,10 months,"Top sights to see in and around Seattle. Visit the Space Needle, Pike Market Place, waterfront, Underneath the streets, Fremont ...",2026-01-22 01:37:04.632330
/watch?v=XIeCx9bxBBc&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@SharingtheRoad,Sharing the Road,Top 10 Things to Do in Seattle | Seattle Travel Guide,395K,3 years,Check out our new packing cubes on Amazon!,2026-01-22 01:37:04.633391
/watch?v=4BKihLMa4aU&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@EmilyCressey-LivingInSeattleWA,"Emily Cressey - Living In Seattle, Washington",Tourist Hot-Spots: What To See When Visiting Downtown Seattle,74,3 weeks,"What to See in Downtown Seattle Without a Car ‍♀️   Hey there, Seattle explorers! A viewer recently asked me, 'What ...",2026-01-22 01:37:04.634421
/watch?v=cwcsKxnJeEE&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@SharingtheRoad,Sharing the Road,How To Get Around Seattle | Cheap Public Transport 101,144K,3 years,Today we're talking about how to get around Seattle for cheap. We'll be discussing the best public transportation in the city to ...,2026-01-22 01:37:04.635564
/watch?v=jRm6WCmIrGM&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@CityGeek,City Geek,"Seattle Overview | An informative introduction to Seattle, Washington",468K,2 years,"Seattle is arguably the most beautiful city in America. I lived there for a couple years as a child, which really sparked my interest in ...",2026-01-22 01:37:12.809391
/watch?v=87heNRK0eyc&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@emmasedition,emmasedition,Seattle Vlog | A Day Exploring Pike Place Market & Seattle Waterfront,330,2 months,"Whether you're visiting Seattle for the first time or showing friends and family around, Pike Place Market is a must-see landmark.",2026-01-22 01:37:12.813117
/watch?v=sO5-oFuDPEA&t=14s&pp=ygUQVmlzaXRpbmcgU2VhdHRsZQ%3D%3D,/@ThroughMyLens,Through My Lens,"22 Things to Do in Seattle, Washington",1.7M,7 years,"Seattle is a fun city to visit in the Pacific Northwest and it is full of amazing adventures, shopping, and restaurants. I have been ...",2026-01-22 01:37:12.816198
