video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=EiN0GTHPUq0&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,2025 Pros and Cons of Living In Seattle,26K,1 year,"In this video, I am going over some of the top pros and cons of living in the Seattle area. If you're thinking of moving to Seattle, ...",2026-01-22 01:43:25.539332
/watch?v=Xzp6uWJpwuA&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,"I’ve Lived In Seattle For 28 Years, Here Are My Thoughts",1.5K,2 weeks,Thinking about buying or selling a home in the Seattle Metropolitan area? We'd love to help!,2026-01-22 01:43:25.542133
/watch?v=eP_matCcDrg&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@monicachurchrealtor,Monica Church Seattle Real Estate,7 Things I Wish I Knew Before Moving To Seattle (from California!),259K,2 years,Interested in buying or selling in the Seattle/Bellevue area? Get in touch with me at: https://monicachurchrealestate.com/ or ...,2026-01-22 01:43:25.543760
/watch?v=lbrsePtzNe0&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Why Are People STILL Moving To Seattle?,12K,8 months,"Is moving to Seattle something in your plans in the near future? In this video, I am going over the top 5 reasons why all of my ...",2026-01-22 01:43:25.545437
/watch?v=jDkck-kxARI&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Why People Hate Living In Seattle,65K,1 year,"If you watch many of my videos here on Youtube, you likely see many comments from people that have a lot of negative things to ...",2026-01-22 01:43:25.549312
/watch?v=znZCU6W3yBc&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@CNBCMakeIt,CNBC Make It,"Living On $27K A Year In Seattle, WA | Millennial Money",285K,2 years,"Chi Baik, 26, lives in Seattle, Washington and earns $27000 a year as a Ph.D. student. Baik used to work as a teacher outside ...",2026-01-22 01:43:25.551570
/watch?v=YUI4Lr1lcE4&pp=ygURTGl2aW5nIGluIFNlYXR0bGXSBwkJhwoBhyohjO8%3D,/@LivingInSeattlePNW,Living in Seattle Washington PNW,Living In Seattle Washington: Exploring The Charms & Challenges In Seattle WA | Seattle WA Realtor,1.5K,1 year,Are you thinking about moving to Seattle Washington? Let's discover living in Seattle Washington and explore the charms and ...,2026-01-22 01:43:25.554160
/watch?v=saYhnVmv2mU&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,The Dark Side Of Seattle - 9 Things You Must Know Before Moving,8.3K,7 months,Looking to make a move to Seattle? These are 9 downsides about living in the Seattle area that you should know first. Thinking ...,2026-01-22 01:43:25.555814
/watch?v=h-_XjgvZozA&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Living In Seattle vs Portland vs San Francisco,2.8K,7 months,"Are you looking at a move to the west coast? Or, maybe you live on the west coast already but are looking for a change of scenery ...",2026-01-22 01:43:25.559542
/watch?v=OjSbzmftVpA&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@rinahra,Rin Ahra,"THINGS TO KNOW BEFORE MOVING TO SEATTLE *brutally honest* | good, bad, and ugly | seattle fashion",127K,3 years,biggest takeaway is that there are literally no bugs in seattle tbh thanks for watching ✨ Restricted Parking Zone Information: ...,2026-01-22 01:43:25.561146
